miRNA	Normal_mean	RBD_mean	PD_mean	Normal.RBD.p	Normal.PD.p	RBD.PD.p	kruskal.p	kruskal.q
21	let-7g-5p	13.9292038336114	14.1691455484826	14.2552553753895	0.200888236362581	0.00892481708850083	0.301285115913854	0.0407297272952187	0.112254331211718
22	let-7e-5p	13.9702969852071	13.8113350294222	13.8401878397037	0.79298613463062	0.61466720007916	0.727387943774988	0.861788767711514	0.906781755584002
23	miR-151a-3p	13.2727212262154	13.9808230661264	13.9148810202725	2.28997293724159e-07	1.95095343245643e-07	0.713775528771891	1.09369955268242e-08	9.55164276009312e-07
24	miR-99a-5p	13.572470878993	13.9119648956339	13.3290018721033	0.00487832918814948	0.00892481708850083	9.33037272986375e-05	5.8097404935825e-05	0.000761076004659308
25	let-7d-5p	13.7970045756744	13.5408894072002	13.9659226805943	0.00203085583247956	0.198483163670391	0.000495844841916261	0.000451971964959509	0.0038198920909481
26	miR-150-5p	13.8134420374452	13.5136468387332	13.0020927992728	0.204806823833347	7.10463650037115e-06	0.0214043634393085	0.000129357741515896	0.00147288939473971
27	miR-125b-5p	13.4577039925708	13.5582121598272	12.9423509470521	0.672544522560553	0.00227186441580759	0.0058607273435754	0.00368405000495528	0.0201926389255755
28	miR-30e-5p	13.4103652435976	13.3903943274399	13.6154193615448	0.949338991518839	0.0712797323887045	0.0948680440151242	0.135548349185615	0.259223850267381
29	let-7d-3p	13.3449405512669	13.5293753869916	13.552328715541	0.00513588146305633	0.00331285329828951	0.782662917276232	0.00369941476499093	0.0201926389255755
30	let-7c-5p	13.2819119348725	13.3168094193285	13.2075257182271	0.457417952880682	0.924369541967077	0.374445071052729	0.636981335939749	0.745040669715242
31	miR-146b-5p	13.2206898469988	13.1657435863271	13.0050000886677	0.541526302367078	0.0173582031869764	0.0802782527868686	0.0485626334060592	0.125490798590856
32	miR-363-3p	13.0829312942452	12.5131178887968	12.6822782210685	0.00114825708299694	0.0205722578686416	0.407924595185412	0.00344908457196505	0.0195304809231022
33	miR-199a-5p	12.3459605644288	13.0784371863533	13.1357853512043	7.93541566453087e-06	2.35487803125114e-08	0.741086938154444	3.07824597773344e-08	2.0162511154154e-06
34	miR-185-5p	12.7874296211255	12.6969711177803	12.9476034959022	0.512656981080207	0.200498821081037	0.0640058838013038	0.163011200561323	0.288573882074775
35	miR-222-3p	12.8149264294331	12.9510732944589	12.8972542463954	0.0630066737522775	0.291082873856177	0.443126147931742	0.171957816106897	0.297226568243944
36	miR-4433b-5p	10.6801515875113	11.7556927853967	12.0718188098928	0.000216491976755149	2.63169530966765e-06	0.115659303594353	2.51345885681963e-06	5.98660200442493e-05
37	miR-584-5p	12.2907663690992	13.0067180228276	12.8527189956282	7.30350562022002e-07	2.91042685471208e-07	0.238324526580875	2.50765001731129e-08	1.87715515581588e-06
