"","group","depth","map","useful"
"78","PD",30507720,0.800510373399669,0.828691557415631
"79","PD",10974286,0.834282861726713,0.848432235135844
"80","PD",26638407,0.802845759414158,0.804435002438397
"81","PD",11872778,0.830031354042334,0.876350842237596
"82","PD",18617314,0.740486067731153,0.707068753312105
"83","PD",12840144,0.773966574552835,0.773307604649917
"84","PD",32574682,0.769585421370756,0.794480940750243
"85","PD",21114947,0.803698791598411,0.755318306032215
"86","PD",33041159,0.720299992307427,0.87263906208617
"87","PD",70892268,0.761401722362952,0.924081509142859
"88","PD",36347637,0.790622135600607,0.972910508597849
"89","PD",28886476,0.554135824810358,0.935071207716718
"90","PD",16520773,0.527913363796946,0.848628874690064
"91","PD",12234019,0.549747862486284,0.919632787884341
"92","PD",6049475,0.409539829341437,0.929566945891999
"93","PD",42066894,0.349358006572327,0.804514233924663
"94","PD",65820944,0.79052156063152,0.970557107172453
"95","PD",26006502,0.696643345689543,0.893057397723077
"96","PD",31699208,0.575176483633346,0.900732472558936
"97","PD",9288061,0.622324135465157,0.936474254421886
"98","PD",24659198,0.545696301517697,0.926763271052043
"99","PD",16678083,0.618978391474787,0.92649389021508
"100","PD",18756891,0.716652570401977,0.954669673135063
"101","PD",10657414,0.639041154563489,0.774418728595886
"102","PD",36746857,0.512235864059053,0.861542580362723
"103","PD",14104662,0.837068167052479,0.943508323701766
"104","PD",42749264,0.824930648914372,0.977263234286326
"105","PD",20461884,0.513013751557574,0.818379871569988
"106","PD",10181875,0.542389055294256,0.91239560493524
"107","PD",6348811,0.796242219718573,0.924248493143047
"108","PD",13946090,0.489729715978158,0.8117381287515
"109","PD",15748464,0.596153398326038,0.910738850468211
"110","PD",11903103,0.710900161103861,0.938030024607869
"111","PD",25627841,0.581440663096947,0.886010803641243
"112","PD",28489665,0.176281538561631,0.693808017749594
"113","PD",14561803,0.557564517019029,0.907261209343376
"114","iRBD",26022030,0.555039089689289,0.695099114096786
"115","iRBD",32860369,0.744226883322112,0.633493555717527
"116","iRBD",32212034,0.801560723121484,0.715720901076908
"117","iRBD",6149314,0.643072726491557,0.533683757245117
"118","iRBD",5041336,0.745957918189088,0.636044889687972
"119","iRBD",9032640,0.554597960884065,0.449512988450774
"120","iRBD",11941249,0.738732505132564,0.728349940613415
"121","iRBD",22427649,0.733393634819681,0.719007105916452
"122","iRBD",9816011,0.550892046695902,0.452300837886184
"123","iRBD",12804943,0.641042575476366,0.702145023214863
"124","iRBD",11782959,0.759452614513982,0.611657309509436
"125","iRBD",12565931,0.588978481256229,0.736160337025565
"126","iRBD",29054487,0.715685326266264,0.704582600271001
"127","iRBD",19248968,0.787132909039172,0.809699771956606
"128","iRBD",6612994,0.559008774674085,0.595017476199132
"129","iRBD",17668038,0.601400571088895,0.618710351426684
"130","iRBD",21177401,0.75830561063639,0.736862988994731
"131","iRBD",18493846,0.465922367388434,0.674737585681204
"132","iRBD",14209829,0.758211631933931,0.67635001096776
"133","iRBD",20793703,0.73248117462481,0.663234105055747
"134","iRBD",41592895,0.81294252396662,0.890881699867249
"135","iRBD",15840705,0.779758256524394,0.740974975545596
"136","iRBD",18477735,0.810653321460031,0.787328371145056
"137","iRBD",19342679,0.750531691325335,0.627191765938937
"138","iRBD",28004363,0.812433078343869,0.733786196100943
"139","iRBD",21101635,0.733120253734432,0.502632378960209
"140","iRBD",17732860,0.740300235186806,0.641980030294042
"141","iRBD",36121404,0.787482515603984,0.797666502664182
"142","iRBD",37101628,0.730936077605358,0.843995605799293
"143","iRBD",9996721,0.698133899750169,0.733175308183553
"144","iRBD",41150906,0.81552002372631,0.736450322624732
"145","iRBD",39066121,0.722213250170847,0.718649235740605
"146","iRBD",26573038,0.582906685964429,0.890275323431216
"147","iRBD",7311699,0.430056162059075,0.910773268976198
"148","iRBD",13572516,0.656860584453817,0.908000255811082
"149","iRBD",17112016,0.587073113854821,0.923707528090203
"150","iRBD",32790415,0.67423732342264,0.982604642240728
"151","iRBD",9270070,0.634840522559926,0.875824454400021
"152","iRBD",6955287,0.588241357048555,0.920655898167825
"153","iRBD",41693764,0.564919627223863,0.928855427876457
"154","iRBD",13250370,0.56069395747155,0.9226081233958
"155","iRBD",26413348,0.681219498104192,0.946936564043301
"156","iRBD",42758418,0.858364647519774,0.964011414079913
"157","iRBD",15176452,0.523725974349117,0.931887703397342
"158","iRBD",12947965,0.4679448016683,0.883770306762491
"159","iRBD",1846552,0.331158432199369,0.833236215389548
"160","iRBD",24857299,0.428759281684624,0.718703266996145
"161","iRBD",13154869,0.396535110081583,0.711331218881769
"162","iRBD",4004152,0.200020294709371,0.893394406605943
"163","iRBD",36717228,0.708089683919467,0.938403792356002
"164","iRBD",20633568,0.411969058539261,0.77678974378062
"165","iRBD",10046042,0.593141242992006,0.768490814591458
"166","iRBD",5220017,0.259691682641809,0.773669127897476
"167","iRBD",4321406,0.246381424424717,0.873902151290575
"168","iRBD",2459903,0.289638765120599,0.911273330696373
"169","iRBD",52938198,0.561005964142706,0.937750903421382
